# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Quranic Arabic Corpus (morphology, version 0.4)
#  Copyright (C) 2011 Kais Dukes
#  License: GNU General Public License
#
#  The Quranic Arabic Corpus includes syntactic and morphological
#  annotation of the Quran, and builds on the verified Arabic text
#  distributed by the Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this file, but CHANGING IT IS NOT ALLOWED.
#
#  - This annotation can be used in any website or application,
#    provided its source (the Quranic Arabic Corpus) is clearly
#    indicated, and a link is made to http://corpus.quran.com to enable
#    users to keep track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all works
#    derived from or containing substantial portion of this file.
#
#  Please check updates at: http://corpus.quran.com/download

# PLEASE DO NOT REMOVE OR CHANGE THIS COPYRIGHT BLOCK
#====================================================================
#
#  Tanzil Quran Text (Uthmani, version 1.0.2)
#  Copyright (C) 2008-2009 Tanzil.info
#  License: Creative Commons BY-ND 3.0 Unported
#
#  This copy of quran text is carefully produced, highly
#  verified and continuously monitored by a group of specialists
#  at Tanzil project.
#
#  TERMS OF USE:
#
#  - Permission is granted to copy and distribute verbatim copies
#    of this text, but CHANGING IT IS NOT ALLOWED.
#
#  - This quran text can be used in any website or application,
#    provided its source (Tanzil.info) is clearly indicated, and
#    a link is made to http://tanzil.info to enable users to keep
#    track of changes.
#
#  - This copyright notice shall be included in all verbatim copies
#    of the text, and shall be reproduced appropriately in all files
#    derived from or containing substantial portion of this text.
#
#  Please check updates at: http://tanzil.info/updates/
#
#====================================================================

LOCATION	FORM	TAG	FEATURES
(36:1:1:1)	ys^	INL	STEM|POS:INL
(36:2:1:1)	wa	P	PREFIX|w:P+
(36:2:1:2)	{lo	DET	PREFIX|Al+
(36:2:1:3)	quro'aAni	PN	STEM|POS:PN|LEM:quro'aAn|ROOT:qrA|M|GEN
(36:2:2:1)	{lo	DET	PREFIX|Al+
(36:2:2:2)	Hakiymi	ADJ	STEM|POS:ADJ|LEM:Hakiym|ROOT:Hkm|MS|GEN
(36:3:1:1)	<in~a	ACC	STEM|POS:ACC|LEM:<in~|SP:<in~
(36:3:1:2)	ka	PRON	SUFFIX|PRON:2MS
(36:3:2:1)	la	EMPH	PREFIX|l:EMPH+
(36:3:2:2)	mina	P	STEM|POS:P|LEM:min
(36:3:3:1)	{lo	DET	PREFIX|Al+
(36:3:3:2)	murosaliyna	N	STEM|POS:N|PASS|PCPL|(IV)|LEM:m~urosal|ROOT:rsl|MP|GEN
(36:4:1:1)	EalaY`	P	STEM|POS:P|LEM:EalaY`
(36:4:2:1)	Sira`TK	N	STEM|POS:N|LEM:Sira`T|ROOT:SrT|M|INDEF|GEN
(36:4:3:1)	m~usotaqiymK	N	STEM|POS:N|ACT|PCPL|(X)|LEM:m~usotaqiym|ROOT:qwm|M|INDEF|GEN
(36:5:1:1)	tanziyla	N	STEM|POS:N|VN|(II)|LEM:tanziyl|ROOT:nzl|M|ACC
(36:5:2:1)	{lo	DET	PREFIX|Al+
(36:5:2:2)	Eaziyzi	ADJ	STEM|POS:ADJ|LEM:Eaziyz|ROOT:Ezz|MS|GEN
(36:5:3:1)	{l	DET	PREFIX|Al+
(36:5:3:2)	r~aHiymi	ADJ	STEM|POS:ADJ|LEM:r~aHiym|ROOT:rHm|MS|GEN
(36:6:1:1)	li	PRP	PREFIX|l:PRP+
(36:6:1:2)	tun*ira	V	STEM|POS:V|IMPF|(IV)|LEM:>an*ara|ROOT:n*r|2MS|MOOD:SUBJ
(36:6:2:1)	qawomFA	N	STEM|POS:N|LEM:qawom|ROOT:qwm|M|INDEF|ACC
(36:6:3:1)	m~aA^	NEG	STEM|POS:NEG|LEM:maA
(36:6:4:1)	>un*ira	V	STEM|POS:V|PERF|PASS|(IV)|LEM:>an*ara|ROOT:n*r|3MS
(36:6:5:1)	'aAbaA^&u	N	STEM|POS:N|LEM:A^baA'|ROOT:Abw|MP|NOM
(36:6:5:2)	humo	PRON	SUFFIX|PRON:3MP
(36:6:6:1)	fa	REM	PREFIX|f:REM+
(36:6:6:2)	humo	PRON	STEM|POS:PRON|3MP
(36:6:7:1)	ga`filuwna	N	STEM|POS:N|ACT|PCPL|LEM:ga`fil|ROOT:gfl|MP|NOM
(36:7:1:1)	la	EMPH	PREFIX|l:EMPH+
(36:7:1:2)	qado	CERT	STEM|POS:CERT|LEM:qad
(36:7:2:1)	Haq~a	V	STEM|POS:V|PERF|LEM:Haq~a|ROOT:Hqq|3MS
(36:7:3:1)	{lo	DET	PREFIX|Al+
(36:7:3:2)	qawolu	N	STEM|POS:N|VN|LEM:qawol|ROOT:qwl|M|NOM
(36:7:4:1)	EalaY`^	P	STEM|POS:P|LEM:EalaY`
(36:7:5:1)	>akovari	N	STEM|POS:N|LEM:>akovar|ROOT:kvr|MS|GEN
